"Day";"DateTime";"IdRFID";"IdLabel";"unitLabel";"eventDuration";"reinforce1value";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"Loc";"Cohortday";"Period";"Amplitude";"Disp";"Rel";"Discard";"Cond";"Reversal";"Cohort";"detect";"choice";"Experiment"
1;2020-06-16 17:04:11;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-16 17:08:04;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-16 19:45:51;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-16 19:49:44;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-16 22:27:32;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-16 22:31:25;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-17 01:37:54;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
1;2020-06-17 01:41:47;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 15:51:49;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 15:55:43;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 18:33:29;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 18:37:22;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 20:53:00;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 20:56:53;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 23:12:02;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-19 23:15:55;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-20 01:31:05;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
2;2020-06-20 01:34:58;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 16:42:32;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 16:46:25;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 19:17:50;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 19:21:43;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 21:35:43;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 21:39:36;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 23:54:20;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-20 23:58:13;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-21 02:16:44;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
3;2020-06-21 02:20:37;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 16:56:15;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 17:00:08;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 19:49:38;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 19:53:32;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 22:25:20;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-21 22:29:13;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-22 01:03:07;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
4;2020-06-22 01:07:00;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 16:55:55;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 16:59:48;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 19:29:30;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 19:33:23;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 21:55:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-22 21:59:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-23 00:18:17;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
5;2020-06-23 00:22:10;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 17:21:30;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 17:25:23;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 20:12:42;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 20:16:35;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 22:33:34;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-23 22:37:27;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-24 01:10:48;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
6;2020-06-24 01:14:41;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 16:48:49;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 16:52:42;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 19:18:20;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 19:22:13;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 21:34:04;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 21:37:57;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 23:54:01;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-24 23:57:54;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-25 02:18:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
7;2020-06-25 02:22:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
8;2020-06-25 16:52:36;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Objective"
