"Day";"DateTime";"IdRFID";"IdLabel";"unitLabel";"eventDuration";"reinforce1value";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"Loc";"Cohortday";"Period";"Amplitude";"Disp";"Rel";"Discard";"Cond";"Reversal";"Cohort";"detect";"choice";"Experiment"
1;2019-11-30 18:36:05;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
1;2019-11-30 18:39:58;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
1;2019-11-30 23:15:19;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
1;2019-11-30 23:19:12;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-01 16:41:03;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-01 16:44:56;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-01 20:44:50;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-01 20:48:43;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-02 00:47:16;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
2;2019-12-02 00:51:09;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-02 17:23:33;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-02 17:27:26;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-02 21:29:00;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-02 21:32:53;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-03 00:47:53;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
3;2019-12-03 00:51:46;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 15:05:02;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 15:08:55;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 19:50:45;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 19:54:38;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 23:24:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
4;2019-12-03 23:28:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
5;2019-12-04 18:02:37;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
5;2019-12-04 18:06:30;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
5;2019-12-04 21:51:50;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
5;2019-12-04 21:55:43;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
6;2019-12-05 17:20:15;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
6;2019-12-05 17:24:08;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
6;2019-12-05 21:51:00;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
6;2019-12-05 21:54:53;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-06 17:08:51;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-06 17:12:44;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-06 20:50:16;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-06 20:54:09;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-07 01:01:03;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
7;2019-12-07 01:04:56;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
8;2019-12-07 17:51:32;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
8;2019-12-07 17:55:26;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
8;2019-12-07 22:26:05;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
8;2019-12-07 22:29:58;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
9;2019-12-08 18:28:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
9;2019-12-08 18:32:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
9;2019-12-08 23:12:52;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
9;2019-12-08 23:16:45;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-10 17:19:51;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-10 17:23:45;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-10 22:36:12;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-10 22:40:05;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-11 01:45:06;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
10;2019-12-11 01:48:59;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 16:55:19;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 16:59:12;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 20:33:14;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 20:37:08;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 23:46:51;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
11;2019-12-11 23:50:44;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 16:29:22;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 16:33:15;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 19:53:39;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 19:57:32;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 22:43:37;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-12 22:47:31;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-13 01:21:41;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
12;2019-12-13 01:25:35;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 16:06:24;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 16:10:17;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 19:15:16;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 19:19:09;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 21:45:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-13 21:49:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-14 00:20:13;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
13;2019-12-14 00:24:07;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 16:08:26;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 16:12:19;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 19:28:50;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 19:32:44;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 22:28:59;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-14 22:32:52;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-15 01:21:52;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
14;2019-12-15 01:25:45;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 16:22:23;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 16:26:16;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 19:33:23;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 19:37:17;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 22:14:30;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-15 22:18:23;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-16 00:56:56;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
15;2019-12-16 01:00:49;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 14:03:01;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 14:06:55;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 19:06:53;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 19:10:47;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 21:51:29;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-16 21:55:22;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-17 00:40:01;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
16;2019-12-17 00:43:54;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 16:25:19;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 16:29:12;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 19:58:34;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 20:02:27;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 23:00:15;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-17 23:04:09;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-18 01:31:33;"";"";"pumpBeh";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
17;2019-12-18 01:35:26;"";"";"pumpBeh";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;FALSE;FALSE;"Subjective"
