Day,Cohortday,IdLabel,Loc,Period,Amplitude,Disp,Rel,Discard,Cond,Reversal,Cohort
1,0,Bat12,1,,,,1,0,Training,,1
1,0,Bat12,2,,,,1,0,Training,,1
1,0,Bat12,3,,,,0,0,Training,,1
1,0,Bat12,4,,,,0,0,Training,,1
1,0,Bat12,5,,,,0,0,Training,,1
1,0,Bat12,6,,,,0,0,Training,,1
1,0,Bat12,7,,,,0,0,Training,,1
1,0,Bat12,8,,,,0,0,Training,,1
1,0,Bat12,9,,,,0,0,Training,,1
1,0,Bat12,10,,,,0,0,Training,,1
1,0,Bat12,11,,,,0,0,Training,,1
1,0,Bat12,12,,,,0,0,Training,,1
1,0,Bat22,1,,,,0,0,Training,,1
1,0,Bat22,2,,,,0,0,Training,,1
1,0,Bat22,3,,,,1,0,Training,,1
1,0,Bat22,4,,,,1,0,Training,,1
1,0,Bat22,5,,,,0,0,Training,,1
1,0,Bat22,6,,,,0,0,Training,,1
1,0,Bat22,7,,,,0,0,Training,,1
1,0,Bat22,8,,,,0,0,Training,,1
1,0,Bat22,9,,,,0,0,Training,,1
1,0,Bat22,10,,,,0,0,Training,,1
1,0,Bat22,11,,,,0,0,Training,,1
1,0,Bat22,12,,,,0,0,Training,,1
1,0,Bat51,1,,,,0,0,Training,,1
1,0,Bat51,2,,,,0,0,Training,,1
1,0,Bat51,3,,,,0,0,Training,,1
1,0,Bat51,4,,,,0,0,Training,,1
1,0,Bat51,5,,,,1,0,Training,,1
1,0,Bat51,6,,,,1,0,Training,,1
1,0,Bat51,7,,,,0,0,Training,,1
1,0,Bat51,8,,,,0,0,Training,,1
1,0,Bat51,9,,,,0,0,Training,,1
1,0,Bat51,10,,,,0,0,Training,,1
1,0,Bat51,11,,,,0,0,Training,,1
1,0,Bat51,12,,,,0,0,Training,,1
1,0,Bat45,1,,,,0,0,Training,,1
1,0,Bat45,2,,,,0,0,Training,,1
1,0,Bat45,3,,,,0,0,Training,,1
1,0,Bat45,4,,,,0,0,Training,,1
1,0,Bat45,5,,,,0,0,Training,,1
1,0,Bat45,6,,,,0,0,Training,,1
1,0,Bat45,7,,,,1,0,Training,,1
1,0,Bat45,8,,,,1,0,Training,,1
1,0,Bat45,9,,,,0,0,Training,,1
1,0,Bat45,10,,,,0,0,Training,,1
1,0,Bat45,11,,,,0,0,Training,,1
1,0,Bat45,12,,,,0,0,Training,,1
1,0,Bat43,1,,,,0,0,Training,,1
1,0,Bat43,2,,,,0,0,Training,,1
1,0,Bat43,3,,,,0,0,Training,,1
1,0,Bat43,4,,,,0,0,Training,,1
1,0,Bat43,5,,,,0,0,Training,,1
1,0,Bat43,6,,,,0,0,Training,,1
1,0,Bat43,7,,,,0,0,Training,,1
1,0,Bat43,8,,,,0,0,Training,,1
1,0,Bat43,9,,,,1,0,Training,,1
1,0,Bat43,10,,,,1,0,Training,,1
1,0,Bat43,11,,,,0,0,Training,,1
1,0,Bat43,12,,,,0,0,Training,,1
1,0,Bat101,1,,,,0,0,Training,,1
1,0,Bat101,2,,,,0,0,Training,,1
1,0,Bat101,3,,,,0,0,Training,,1
1,0,Bat101,4,,,,0,0,Training,,1
1,0,Bat101,5,,,,0,0,Training,,1
1,0,Bat101,6,,,,0,0,Training,,1
1,0,Bat101,7,,,,0,0,Training,,1
