Day,Path,Comments
1,Rateofchange-19.11.30.csv,Training
2,Rateofchange-19.12.01.csv,Rate of change
3,Rateofchange-19.12.02.csv,Training + Rate of change
4,Rateofchange-19.12.03.csv,Training + Rate of change
5,Rateofchange-19.12.04.csv,Rate of change
6,Rateofchange-19.12.05.csv,Rate of change
7,Rateofchange-19.12.06.csv,Rate of change
8,Rateofchange-19.12.07.csv,Rate of change
9,Rateofchange-19.12.08.csv,Rate of change
10,Rateofchange-19.12.10.csv,Training
11,Rateofchange-19.12.11.csv,Rate of change
12,Rateofchange-19.12.12.csv,Rate of change
13,Rateofchange-19.12.13.csv,Rate of change
14,Rateofchange-19.12.14.csv,Rate of change
15,Rateofchange-19.12.15.csv,Rate of change
16,Rateofchange-19.12.16.csv,Rate of change
17,Rateofchange-19.12.17.csv,Rate of change
18,Rateofchange-19.12.18.csv,Rate of change
19,Rateofchange-19.12.19.csv,Rate of change
20,Rateofchange-19.12.21.csv,Training
21,Rateofchange-19.12.22.csv,Training + Rate of change
22,Rateofchange-19.12.23.csv,Rate of change
23,Rateofchange-19.12.24.csv,Rate of change
24,Rateofchange-19.12.25.csv,Rate of change
25,Rateofchange-19.12.26.csv,Rate of change
26,Rateofchange-19.12.27.csv,Rate of change
27,Rateofchange-19.12.28.csv,Rate of change
28,Rateofchange-19.12.29.csv,Rate of change
29,Rateofchange-19.12.30.csv,Rate of change
