Day,Path,Comments
1,exp1_subjective_mean/raw_data/Rateofchange-19.11.30.csv,Training
2,exp1_subjective_mean/raw_data/Rateofchange-19.12.01.csv,Rate of change
3,exp1_subjective_mean/raw_data/Rateofchange-19.12.02.csv,Training + Rate of change
4,exp1_subjective_mean/raw_data/Rateofchange-19.12.03.csv,Training + Rate of change
5,exp1_subjective_mean/raw_data/Rateofchange-19.12.04.csv,Rate of change
6,exp1_subjective_mean/raw_data/Rateofchange-19.12.05.csv,Rate of change
7,exp1_subjective_mean/raw_data/Rateofchange-19.12.06.csv,Rate of change
8,exp1_subjective_mean/raw_data/Rateofchange-19.12.07.csv,Rate of change
9,exp1_subjective_mean/raw_data/Rateofchange-19.12.08.csv,Rate of change
10,exp1_subjective_mean/raw_data/Rateofchange-19.12.10.csv,Training
11,exp1_subjective_mean/raw_data/Rateofchange-19.12.11.csv,Rate of change
12,exp1_subjective_mean/raw_data/Rateofchange-19.12.12.csv,Rate of change
13,exp1_subjective_mean/raw_data/Rateofchange-19.12.13.csv,Rate of change
14,exp1_subjective_mean/raw_data/Rateofchange-19.12.14.csv,Rate of change
15,exp1_subjective_mean/raw_data/Rateofchange-19.12.15.csv,Rate of change
16,exp1_subjective_mean/raw_data/Rateofchange-19.12.16.csv,Rate of change
17,exp1_subjective_mean/raw_data/Rateofchange-19.12.17.csv,Rate of change
18,exp1_subjective_mean/raw_data/Rateofchange-19.12.18.csv,Rate of change
19,exp1_subjective_mean/raw_data/Rateofchange-19.12.19.csv,Rate of change
20,exp1_subjective_mean/raw_data/Rateofchange-19.12.21.csv,Training
21,exp1_subjective_mean/raw_data/Rateofchange-19.12.22.csv,Training + Rate of change
22,exp1_subjective_mean/raw_data/Rateofchange-19.12.23.csv,Rate of change
23,exp1_subjective_mean/raw_data/Rateofchange-19.12.24.csv,Rate of change
24,exp1_subjective_mean/raw_data/Rateofchange-19.12.25.csv,Rate of change
25,exp1_subjective_mean/raw_data/Rateofchange-19.12.26.csv,Rate of change
26,exp1_subjective_mean/raw_data/Rateofchange-19.12.27.csv,Rate of change
27,exp1_subjective_mean/raw_data/Rateofchange-19.12.28.csv,Rate of change
28,exp1_subjective_mean/raw_data/Rateofchange-19.12.29.csv,Rate of change
29,exp1_subjective_mean/raw_data/Rateofchange-19.12.30.csv,Rate of change
