Day,Cohortday,IdLabel,Loc,Period,Amplitude,Disp,Rel,Discard,Cond,Reversal,Cohort
1,0,Bat5,1,,,,1,0,Training,,1
1,0,Bat5,2,,,,1,0,Training,,1
1,0,Bat5,3,,,,0,0,Training,,1
1,0,Bat5,4,,,,0,0,Training,,1
1,0,Bat5,5,,,,0,0,Training,,1
1,0,Bat5,6,,,,0,0,Training,,1
1,0,Bat5,7,,,,0,0,Training,,1
1,0,Bat5,8,,,,0,0,Training,,1
1,0,Bat5,9,,,,0,0,Training,,1
1,0,Bat5,10,,,,0,0,Training,,1
1,0,Bat5,11,,,,0,0,Training,,1
1,0,Bat5,12,,,,0,0,Training,,1
1,0,Bat74,1,,,,0,0,Training,,1
1,0,Bat74,2,,,,0,0,Training,,1
1,0,Bat74,3,,,,1,0,Training,,1
1,0,Bat74,4,,,,1,0,Training,,1
1,0,Bat74,5,,,,0,0,Training,,1
1,0,Bat74,6,,,,0,0,Training,,1
1,0,Bat74,7,,,,0,0,Training,,1
1,0,Bat74,8,,,,0,0,Training,,1
1,0,Bat74,9,,,,0,0,Training,,1
1,0,Bat74,10,,,,0,0,Training,,1
1,0,Bat74,11,,,,0,0,Training,,1
1,0,Bat74,12,,,,0,0,Training,,1
1,0,Bat50,1,,,,0,0,Training,,1
1,0,Bat50,2,,,,0,0,Training,,1
1,0,Bat50,3,,,,0,0,Training,,1
1,0,Bat50,4,,,,0,0,Training,,1
1,0,Bat50,5,,,,1,0,Training,,1
1,0,Bat50,6,,,,1,0,Training,,1
1,0,Bat50,7,,,,0,0,Training,,1
1,0,Bat50,8,,,,0,0,Training,,1
1,0,Bat50,9,,,,0,0,Training,,1
1,0,Bat50,10,,,,0,0,Training,,1
1,0,Bat50,11,,,,0,0,Training,,1
1,0,Bat50,12,,,,0,0,Training,,1
1,0,Bat105,1,,,,0,0,Training,,1
1,0,Bat105,2,,,,0,0,Training,,1
1,0,Bat105,3,,,,0,0,Training,,1
1,0,Bat105,4,,,,0,0,Training,,1
1,0,Bat105,5,,,,0,0,Training,,1
1,0,Bat105,6,,,,0,0,Training,,1
1,0,Bat105,7,,,,1,0,Training,,1
1,0,Bat105,8,,,,1,0,Training,,1
1,0,Bat105,9,,,,0,0,Training,,1
1,0,Bat105,10,,,,0,0,Training,,1
1,0,Bat105,11,,,,0,0,Training,,1
1,0,Bat105,12,,,,0,0,Training,,1
1,0,Bat101,1,,,,0,0,Training,,1
1,0,Bat101,2,,,,0,0,Training,,1
1,0,Bat101,3,,,,0,0,Training,,1
1,0,Bat101,4,,,,0,0,Training,,1
1,0,Bat101,5,,,,0,0,Training,,1
1,0,Bat101,6,,,,0,0,Training,,1
1,0,Bat101,7,,,,0,0,Training,,1
1,0,Bat101,8,,,,0,0,Training,,1
1,0,Bat101,9,,,,1,0,Training,,1
1,0,Bat101,10,,,,1,0,Training,,1
1,0,Bat101,11,,,,0,0,Training,,1
1,0,Bat101,12,,,,0,0,Training,,1
1,0,Bat55,1,,,,0,0,Training,,1
1,0,Bat55,2,,,,0,0,Training,,1
1,0,Bat55,3,,,,0,0,Training,,1
1,0,Bat55,4,,,,0,0,Training,,1
