Day,Path,Comments
1,Rateofchange-20.06.16.csv,Training
,Rateofchange-20.06.17.csv,Rate of change - this day is to be discarded because the reversal for this condition was not executed properly
,Rateofchange-20.06.18.csv,Rate of change - this day is to be discarded because the reversal for this condition was not executed properly
2,Rateofchange-20.06.19.csv,Rate of change
3,Rateofchange-20.06.20.csv,Rate of change
4,Rateofchange-20.06.21.csv,Rate of change
5,Rateofchange-20.06.22.csv,Rate of change
6,Rateofchange-20.06.23.csv,Rate of change
7,Rateofchange-20.06.24.csv,Rate of change
8,Rateofchange-20.06.25.csv,Rate of change
9,Rateofchange-20.06.26.csv,Rate of change
10,Rateofchange-20.06.28.csv,Training
11,Rateofchange-20.06.29.csv,Training+Rate of change
12,Rateofchange-20.06.30.csv,Training+Rate of change
13,Rateofchange-20.07.01.csv,Training+Rate of change
14,Rateofchange-20.07.02.csv,Rate of change
15,Rateofchange-20.07.03.csv,Rate of change
16,Rateofchange-20.07.04.csv,Rate of change
17,Rateofchange-20.07.05.csv,Rate of change
18,Rateofchange-20.07.06.csv,Rate of change
19,Rateofchange-20.07.07.csv,Rate of change
20,Rateofchange-20.07.08.csv,Rate of change
21,Rateofchange-20.07.09.csv,Rate of change
22,Rateofchange-20.07.15.csv,Training
23,Rateofchange-20.07.16.csv,Rate of change
24,Rateofchange-20.07.17.csv,Rate of change
25,Rateofchange-20.07.18.csv,Rate of change
26,Rateofchange-20.07.19.csv,Rate of change
27,Rateofchange-20.07.20.csv,Rate of change
28,Rateofchange-20.07.21.csv,Rate of change
29,Rateofchange-20.07.22.csv,Rate of change
30,Rateofchange-20.07.23.csv,Rate of change
