"Day";"IdLabel";"Phase";"Flower";"vis_vol";"unitLabel"
1;"Bat101";"Initial";"11";25;32
1;"Bat101";"Initial";"12";25;18
1;"Bat101";"Forced1";"11";2;134
1;"Bat101";"Forced1";"12";7;138
1;"Bat101";"Free1";"11";2;130
1;"Bat101";"Free1";"12";7;170
1;"Bat101";"Forced2";"11";7;135
1;"Bat101";"Forced2";"12";25;141
1;"Bat101";"Free2";"11";7;105
1;"Bat101";"Free2";"12";25;145
1;"Bat101";NA;"11";NA;39
1;"Bat101";NA;"12";NA;47
1;"Bat22";"Initial";"3";25;29
1;"Bat22";"Initial";"4";25;21
1;"Bat22";"Forced1";"3";7;112
1;"Bat22";"Forced1";"4";25;117
1;"Bat22";"Free1";"3";7;17
1;"Bat22";"Free1";"4";25;233
1;"Bat22";"Forced2";"3";2;107
1;"Bat22";"Forced2";"4";7;112
1;"Bat22";"Free2";"3";2;33
1;"Bat22";"Free2";"4";7;167
1;"Bat22";NA;"3";NA;32
1;"Bat22";NA;"4";NA;63
1;"Bat43";"Initial";"10";25;27
1;"Bat43";"Initial";"9";25;23
1;"Bat43";"Forced1";"10";7;120
1;"Bat43";"Forced1";"9";25;83
1;"Bat43";"Free1";"10";7;14
1;"Bat43";"Free1";"9";25;217
1;"Bat43";"Forced2";"10";2;93
1;"Bat43";"Forced2";"9";7;66
1;"Bat43";"Free2";"10";2;47
1;"Bat43";"Free2";"9";7;153
1;"Bat43";NA;"10";NA;40
1;"Bat43";NA;"9";NA;286
1;"Bat45";"Initial";"7";25;27
1;"Bat45";"Initial";"8";25;23
1;"Bat45";"Forced1";"7";25;83
1;"Bat45";"Forced1";"8";7;82
1;"Bat45";"Free1";"7";25;168
1;"Bat45";"Free1";"8";7;32
1;"Bat45";"Forced2";"7";7;80
1;"Bat45";"Forced2";"8";2;79
1;"Bat45";"Free2";"7";7;98
1;"Bat45";"Free2";"8";2;52
1;"Bat45";NA;"7";NA;239
1;"Bat45";NA;"8";NA;65
1;"Bat51";"Initial";"6";25;50
1;"Bat51";"Forced1";"5";7;76
1;"Bat51";"Forced1";"6";2;73
1;"Bat51";"Free1";"5";7;143
1;"Bat51";"Free1";"6";2;7
1;"Bat51";"Forced2";"5";25;65
1;"Bat51";"Forced2";"6";7;72
1;"Bat51";"Free2";"5";25;141
1;"Bat51";"Free2";"6";7;9
1;"Bat51";NA;"5";NA;341
1;"Bat51";NA;"6";NA;41
10;"Bat16";"Initial";"3";25;33
10;"Bat16";"Initial";"4";25;17
10;"Bat16";"Forced1";"3";25;93
10;"Bat16";"Forced1";"4";7;92
10;"Bat16";"Free1";"3";25;168
10;"Bat16";"Free1";"4";7;18
10;"Bat16";"Forced2";"3";2;66
10;"Bat16";"Forced2";"4";7;67
10;"Bat16";"Free2";"3";2;70
10;"Bat16";"Free2";"4";7;81
10;"Bat16";NA;"3";NA;63
10;"Bat16";NA;"4";NA;41
10;"Bat30";"Initial";"5";25;27
10;"Bat30";"Initial";"6";25;23
10;"Bat30";"Forced1";"5";2;51
10;"Bat30";"Forced1";"6";7;57
10;"Bat30";"Free1";"5";2;22
10;"Bat30";"Free1";"6";7;89
10;"Bat30";"Forced2";"5";25;41
10;"Bat30";"Forced2";"6";7;43
10;"Bat30";"Free2";"5";25;57
10;"Bat30";"Free2";"6";7;43
10;"Bat30";NA;"5";NA;53
10;"Bat30";NA;"6";NA;92
10;"Bat67";"Initial";"1";25;19
10;"Bat67";"Initial";"2";25;38
10;"Bat67";"Forced1";"1";2;113
10;"Bat67";"Forced1";"2";7;118
10;"Bat67";"Free1";"1";2;106
10;"Bat67";"Free1";"2";7;147
10;"Bat67";"Forced2";"1";25;114
10;"Bat67";"Forced2";"2";7;115
10;"Bat67";"Free2";"1";25;195
10;"Bat67";"Free2";"2";7;36
10;"Bat67";NA;"1";NA;273
10;"Bat67";NA;"2";NA;128
10;"Bat77";"Initial";"10";25;9
10;"Bat77";"Initial";"9";25;41
10;"Bat77";"Forced1";"10";2;90
10;"Bat77";"Forced1";"9";7;88
10;"Bat77";"Free1";"10";2;60
10;"Bat77";"Free1";"9";7;140
10;"Bat77";"Forced2";"10";7;91
10;"Bat77";"Forced2";"9";25;83
10;"Bat77";"Free2";"10";7;33
10;"Bat77";"Free2";"9";25;121
10;"Bat77";NA;"10";NA;47
10;"Bat77";NA;"9";NA;226
10;"Bat87";"Initial";"11";25;39
10;"Bat87";"Initial";"12";25;11
10;"Bat87";"Forced1";"11";25;89
10;"Bat87";"Forced1";"12";7;87
10;"Bat87";"Free1";"11";25;196
10;"Bat87";"Free1";"12";7;4
10;"Bat87";"Forced2";"11";2;86
10;"Bat87";"Forced2";"12";7;92
10;"Bat87";"Free2";"11";2;133
10;"Bat87";"Free2";"12";7;46
10;"Bat87";NA;"11";NA;84
10;"Bat87";NA;"12";NA;30
10;"Bat95";"Initial";"7";25;25
10;"Bat95";"Initial";"8";25;25
10;"Bat95";"Forced1";"7";25;115
10;"Bat95";"Forced1";"8";7;113
10;"Bat95";"Free1";"7";25;193
10;"Bat95";"Free1";"8";7;57
10;"Bat95";"Forced2";"7";2;108
10;"Bat95";"Forced2";"8";7;115
10;"Bat95";"Free2";"7";2;109
