"term";"estimate";"std.error";"statistic";"p.value";"IdLabel";"Period";"sig_level";"significant"
"(Intercept)";-0,489;0,021;-23,063;0;"Bat 101";0,75;"***";"FALSE"
"cosw";-0,022;0,03;-0,746;0,456;"Bat 101";0,75;"n.s.";"FALSE"
"sinw";-0,047;0,03;-1,549;0,121;"Bat 101";0,75;"n.s.";"FALSE"
"(Intercept)";-0,561;0,02;-28,631;0;"Bat 101";1,5;"***";"FALSE"
"cosw";0,053;0,028;1,909;0,056;"Bat 101";1,5;"n.s.";"FALSE"
"sinw";0,033;0,028;1,19;0,234;"Bat 101";1,5;"n.s.";"FALSE"
"(Intercept)";-0,562;0,021;-27,222;0;"Bat 101";3;"***";"FALSE"
"cosw";-0,009;0,029;-0,29;0,772;"Bat 101";3;"n.s.";"FALSE"
"sinw";-0,031;0,029;-1,073;0,283;"Bat 101";3;"n.s.";"FALSE"
"(Intercept)";-0,411;0,019;-21,403;0;"Bat 101";6;"***";"FALSE"
"cosw";-0,006;0,027;-0,237;0,813;"Bat 101";6;"n.s.";"FALSE"
"sinw";-0,026;0,027;-0,96;0,337;"Bat 101";6;"n.s.";"FALSE"
"(Intercept)";-0,048;0,027;-1,775;0,076;"Bat 105";0,75;"n.s.";"TRUE"
"cosw";0,009;0,038;0,244;0,807;"Bat 105";0,75;"n.s.";"TRUE"
"sinw";0,092;0,039;2,371;0,018;"Bat 105";0,75;"*";"TRUE"
"(Intercept)";-0,61;0,03;-20,511;0;"Bat 105";1,5;"***";"FALSE"
"cosw";0,008;0,042;0,186;0,853;"Bat 105";1,5;"n.s.";"FALSE"
"sinw";-0,047;0,042;-1,12;0,263;"Bat 105";1,5;"n.s.";"FALSE"
"(Intercept)";-0,601;0,031;-19,51;0;"Bat 105";3;"***";"FALSE"
"cosw";0,012;0,044;0,27;0,787;"Bat 105";3;"n.s.";"FALSE"
"sinw";-0,036;0,043;-0,823;0,41;"Bat 105";3;"n.s.";"FALSE"
"(Intercept)";-0,241;0,027;-8,789;0;"Bat 105";6;"***";"FALSE"
"cosw";0,001;0,039;0,035;0,972;"Bat 105";6;"n.s.";"FALSE"
"sinw";-0,022;0,039;-0,564;0,572;"Bat 105";6;"n.s.";"FALSE"
"(Intercept)";-1,031;0,039;-26,104;0;"Bat 5";0,75;"***";"FALSE"
"cosw";-0,009;0,055;-0,154;0,878;"Bat 5";0,75;"n.s.";"FALSE"
"sinw";0,025;0,056;0,446;0,656;"Bat 5";0,75;"n.s.";"FALSE"
"(Intercept)";-0,316;0,035;-9,155;0;"Bat 5";1,5;"***";"FALSE"
"cosw";-0,071;0,049;-1,431;0,152;"Bat 5";1,5;"n.s.";"FALSE"
"sinw";-0,017;0,048;-0,355;0,723;"Bat 5";1,5;"n.s.";"FALSE"
"(Intercept)";-1,309;0,041;-32,119;0;"Bat 5";3;"***";"FALSE"
"cosw";-0,048;0,057;-0,837;0,402;"Bat 5";3;"n.s.";"FALSE"
"sinw";0,06;0,058;1,038;0,299;"Bat 5";3;"n.s.";"FALSE"
"(Intercept)";-0,784;0,037;-21,207;0;"Bat 5";6;"***";"FALSE"
"cosw";0,031;0,053;0,597;0,55;"Bat 5";6;"n.s.";"FALSE"
"sinw";0,017;0,052;0,32;0,749;"Bat 5";6;"n.s.";"FALSE"
"(Intercept)";0,221;0,022;10,179;0;"Bat 50";0,75;"***";"FALSE"
"cosw";-0,006;0,031;-0,202;0,84;"Bat 50";0,75;"n.s.";"FALSE"
"sinw";0,006;0,03;0,203;0,839;"Bat 50";0,75;"n.s.";"FALSE"
"(Intercept)";-0,356;0,026;-13,49;0;"Bat 50";1,5;"***";"FALSE"
"cosw";-0,013;0,038;-0,347;0,729;"Bat 50";1,5;"n.s.";"FALSE"
"sinw";-0,015;0,037;-0,396;0,692;"Bat 50";1,5;"n.s.";"FALSE"
"(Intercept)";-0,452;0,026;-17,306;0;"Bat 50";3;"***";"FALSE"
"cosw";-0,053;0,037;-1,442;0,149;"Bat 50";3;"n.s.";"FALSE"
"sinw";0,019;0,037;0,503;0,615;"Bat 50";3;"n.s.";"FALSE"
"(Intercept)";-0,776;0,029;-26,486;0;"Bat 50";6;"***";"FALSE"
"cosw";-0,041;0,041;-0,992;0,321;"Bat 50";6;"n.s.";"FALSE"
"sinw";-0,081;0,042;-1,947;0,051;"Bat 50";6;"n.s.";"FALSE"
"(Intercept)";-0,715;0,032;-22,114;0;"Bat 1";0,75;"***";"FALSE"
"cosw";0,013;0,046;0,292;0,771;"Bat 1";0,75;"n.s.";"FALSE"
"sinw";-0,001;0,045;-0,018;0,986;"Bat 1";0,75;"n.s.";"FALSE"
"(Intercept)";0,346;0,024;14,459;0;"Bat 1";1,5;"***";"FALSE"
"cosw";0,014;0,034;0,422;0,673;"Bat 1";1,5;"n.s.";"FALSE"
"sinw";0,033;0,034;0,967;0,333;"Bat 1";1,5;"n.s.";"FALSE"
"(Intercept)";-0,587;0,033;-18,056;0;"Bat 1";3;"***";"FALSE"
"cosw";0,088;0,046;1,902;0,057;"Bat 1";3;"n.s.";"FALSE"
"sinw";-0,058;0,046;-1,272;0,203;"Bat 1";3;"n.s.";"FALSE"
"(Intercept)";-0,993;0,036;-27,794;0;"Bat 1";6;"***";"FALSE"
"cosw";-0,033;0,051;-0,65;0,516;"Bat 1";6;"n.s.";"FALSE"
"sinw";0,017;0,05;0,337;0,736;"Bat 1";6;"n.s.";"FALSE"
"(Intercept)";-0,615;0,029;-21,529;0;"Bat 19";0,75;"***";"FALSE"
"cosw";0,051;0,04;1,271;0,204;"Bat 19";0,75;"n.s.";"FALSE"
"sinw";-0,061;0,04;-1,506;0,132;"Bat 19";0,75;"n.s.";"FALSE"
"(Intercept)";-0,774;0,032;-24,477;0;"Bat 19";1,5;"***";"FALSE"
"cosw";0,004;0,045;0,093;0,926;"Bat 19";1,5;"n.s.";"FALSE"
"sinw";0,009;0,045;0,206;0,836;"Bat 19";1,5;"n.s.";"FALSE"
"(Intercept)";-0,835;0,033;-25,049;0;"Bat 19";3;"***";"FALSE"
"cosw";0,074;0,048;1,552;0,121;"Bat 19";3;"n.s.";"FALSE"
"sinw";-0,003;0,046;-0,061;0,952;"Bat 19";3;"n.s.";"FALSE"
"(Intercept)";-0,811;0,031;-25,806;0;"Bat 19";6;"***";"FALSE"
"cosw";0,037;0,045;0,822;0,411;"Bat 19";6;"n.s.";"FALSE"
"sinw";0,008;0,044;0,181;0,857;"Bat 19";6;"n.s.";"FALSE"
"(Intercept)";-0,56;0,028;-19,74;0;"Bat 3";0,75;"***";"FALSE"
"cosw";-0,037;0,04;-0,911;0,362;"Bat 3";0,75;"n.s.";"FALSE"
"sinw";-0,002;0,04;-0,053;0,958;"Bat 3";0,75;"n.s.";"FALSE"
"(Intercept)";-1,063;0,038;-28,154;0;"Bat 3";1,5;"***";"FALSE"
"cosw";-0,017;0,053;-0,315;0,753;"Bat 3";1,5;"n.s.";"FALSE"
"sinw";-0,051;0,054;-0,944;0,345;"Bat 3";1,5;"n.s.";"FALSE"
"(Intercept)";-0,327;0,029;-11,471;0;"Bat 3";3;"***";"FALSE"
"cosw";-0,028;0,04;-0,687;0,492;"Bat 3";3;"n.s.";"FALSE"
"sinw";0,039;0,04;0,975;0,33;"Bat 3";3;"n.s.";"FALSE"
"(Intercept)";-0,481;0,031;-15,678;0;"Bat 3";6;"***";"FALSE"
"cosw";-0,035;0,043;-0,804;0,421;"Bat 3";6;"n.s.";"FALSE"
"sinw";-0,028;0,044;-0,651;0,515;"Bat 3";6;"n.s.";"FALSE"
"(Intercept)";-0,423;0,026;-16,56;0;"Bat 39";0,75;"***";"TRUE"
"cosw";-0,123;0,036;-3,38;0,001;"Bat 39";0,75;"**";"TRUE"
"sinw";0,015;0,036;0,414;0,679;"Bat 39";0,75;"n.s.";"TRUE"
"(Intercept)";-0,519;0,027;-19,324;0;"Bat 39";1,5;"***";"FALSE"
"cosw";-0,059;0,038;-1,553;0,121;"Bat 39";1,5;"n.s.";"FALSE"
"sinw";0,013;0,038;0,348;0,728;"Bat 39";1,5;"n.s.";"FALSE"
"(Intercept)";-0,262;0,023;-11,552;0;"Bat 39";3;"***";"FALSE"
"cosw";-0,027;0,032;-0,846;0,397;"Bat 39";3;"n.s.";"FALSE"
"sinw";-0,001;0,032;-0,038;0,97;"Bat 39";3;"n.s.";"FALSE"
"(Intercept)";-0,61;0,027;-22,85;0;"Bat 39";6;"***";"FALSE"
"cosw";-0,049;0,038;-1,293;0,196;"Bat 39";6;"n.s.";"FALSE"
"sinw";-0,011;0,038;-0,279;0,781;"Bat 39";6;"n.s.";"FALSE"
"(Intercept)";0,109;0,018;6,02;0;"Bat 43";0,75;"***";"FALSE"
"cosw";-0,006;0,026;-0,22;0,826;"Bat 43";0,75;"n.s.";"FALSE"
"sinw";0,017;0,026;0,648;0,517;"Bat 43";0,75;"n.s.";"FALSE"
"(Intercept)";-0,125;0,018;-6,969;0;"Bat 43";1,5;"***";"FALSE"
"cosw";0,028;0,025;1,103;0,27;"Bat 43";1,5;"n.s.";"FALSE"
"sinw";0,025;0,025;0,964;0,335;"Bat 43";1,5;"n.s.";"FALSE"
"(Intercept)";-0,334;0,019;-17,964;0;"Bat 43";3;"***";"FALSE"
"cosw";-0,014;0,026;-0,532;0,595;"Bat 43";3;"n.s.";"FALSE"
"sinw";-0,008;0,026;-0,298;0,766;"Bat 43";3;"n.s.";"FALSE"
"(Intercept)";-0,622;0,019;-32,056;0;"Bat 43";6;"***";"FALSE"
"cosw";0,003;0,027;0,109;0,913;"Bat 43";6;"n.s.";"FALSE"
"sinw";-0,02;0,027;-0,739;0,46;"Bat 43";6;"n.s.";"FALSE"
"(Intercept)";-0,548;0,033;-16,481;0;"Bat 4";0,75;"***";"FALSE"
"cosw";-0,045;0,047;-0,958;0,338;"Bat 4";0,75;"n.s.";"FALSE"
"sinw";0,051;0,047;1,084;0,278;"Bat 4";0,75;"n.s.";"FALSE"
"(Intercept)";-0,53;0,031;-17,003;0;"Bat 4";1,5;"***";"FALSE"
"cosw";-0,067;0,044;-1,509;0,131;"Bat 4";1,5;"n.s.";"FALSE"
"sinw";0,005;0,044;0,114;0,909;"Bat 4";1,5;"n.s.";"FALSE"
"(Intercept)";-0,363;0,029;-12,452;0;"Bat 4";3;"***";"FALSE"
"cosw";0,029;0,041;0,701;0,484;"Bat 4";3;"n.s.";"FALSE"
"sinw";0,04;0,041;0,983;0,326;"Bat 4";3;"n.s.";"FALSE"
"(Intercept)";-0,809;0,033;-24,584;0;"Bat 4";6;"***";"FALSE"
"cosw";-0,008;0,047;-0,175;0,861;"Bat 4";6;"n.s.";"FALSE"
"sinw";-0,026;0,046;-0,57;0,568;"Bat 4";6;"n.s.";"FALSE"
"(Intercept)";-0,484;0,03;-16,345;0;"Bat 47";0,75;"***";"FALSE"
"cosw";0,005;0,042;0,117;0,907;"Bat 47";0,75;"n.s.";"FALSE"
"sinw";0,016;0,042;0,395;0,693;"Bat 47";0,75;"n.s.";"FALSE"
"(Intercept)";-0,436;0,031;-13,93;0;"Bat 47";1,5;"***";"FALSE"
"cosw";0,029;0,044;0,653;0,514;"Bat 47";1,5;"n.s.";"FALSE"
"sinw";0,035;0,044;0,793;0,428;"Bat 47";1,5;"n.s.";"FALSE"
"(Intercept)";-0,39;0,03;-13,077;0;"Bat 47";3;"***";"FALSE"
"cosw";-0,029;0,042;-0,692;0,489;"Bat 47";3;"n.s.";"FALSE"
"sinw";0,067;0,042;1,589;0,112;"Bat 47";3;"n.s.";"FALSE"
"(Intercept)";-0,88;0,033;-26,554;0;"Bat 47";6;"***";"FALSE"
"cosw";-0,034;0,047;-0,724;0,469;"Bat 47";6;"n.s.";"FALSE"
"sinw";-0,051;0,047;-1,092;0,275;"Bat 47";6;"n.s.";"FALSE"
"(Intercept)";-0,451;0,029;-15,397;0;"Bat 68";0,75;"***";"FALSE"
"cosw";-0,037;0,041;-0,891;0,373;"Bat 68";0,75;"n.s.";"FALSE"
"sinw";0,001;0,041;0,013;0,99;"Bat 68";0,75;"n.s.";"FALSE"
"(Intercept)";-0,412;0,029;-14;0;"Bat 68";1,5;"***";"TRUE"
"cosw";0,094;0,042;2,253;0,024;"Bat 68";1,5;"*";"TRUE"
"sinw";-0,072;0,041;-1,727;0,084;"Bat 68";1,5;"n.s.";"TRUE"
"(Intercept)";-1,361;0,047;-28,975;0;"Bat 68";3;"***";"FALSE"
"cosw";-0,044;0,066;-0,667;0,505;"Bat 68";3;"n.s.";"FALSE"
"sinw";0,075;0,067;1,116;0,264;"Bat 68";3;"n.s.";"FALSE"
"(Intercept)";-0,746;0,033;-22,847;0;"Bat 68";6;"***";"FALSE"
"cosw";0,013;0,046;0,281;0,779;"Bat 68";6;"n.s.";"FALSE"
"sinw";0,046;0,046;1;0,317;"Bat 68";6;"n.s.";"FALSE"
