"term";"estimate";"std.error";"statistic";"p.value";"IdLabel";"Period";"sig_level";"significant"
"(Intercept)";0,302;0,023;13,201;0;"Bat 22";0,75;"***";"FALSE"
"cosw";-0,019;0,032;-0,602;0,547;"Bat 22";0,75;"n.s.";"FALSE"
"sinw";-0,046;0,033;-1,422;0,155;"Bat 22";0,75;"n.s.";"FALSE"
"(Intercept)";0,258;0,025;10,164;0;"Bat 22";1,5;"***";"FALSE"
"cosw";0,006;0,036;0,171;0,864;"Bat 22";1,5;"n.s.";"FALSE"
"sinw";-0,026;0,036;-0,725;0,468;"Bat 22";1,5;"n.s.";"FALSE"
"(Intercept)";0,059;0,024;2,487;0,013;"Bat 22";3;"*";"FALSE"
"cosw";-0,01;0,034;-0,309;0,758;"Bat 22";3;"n.s.";"FALSE"
"sinw";-0,007;0,033;-0,197;0,844;"Bat 22";3;"n.s.";"FALSE"
"(Intercept)";-0,09;0,024;-3,755;0;"Bat 22";6;"***";"FALSE"
"cosw";-0,004;0,034;-0,122;0,903;"Bat 22";6;"n.s.";"FALSE"
"sinw";-0,034;0,034;-1,005;0,315;"Bat 22";6;"n.s.";"FALSE"
"(Intercept)";0,403;0,024;16,511;0;"Bat 45";0,75;"***";"FALSE"
"cosw";0,018;0,035;0,522;0,602;"Bat 45";0,75;"n.s.";"FALSE"
"sinw";0,017;0,034;0,505;0,613;"Bat 45";0,75;"n.s.";"FALSE"
"(Intercept)";-0,74;0,036;-20,704;0;"Bat 45";1,5;"***";"FALSE"
"cosw";-0,016;0,051;-0,308;0,758;"Bat 45";1,5;"n.s.";"FALSE"
"sinw";0,044;0,051;0,874;0,382;"Bat 45";1,5;"n.s.";"FALSE"
"(Intercept)";-0,247;0,028;-8,692;0;"Bat 45";3;"***";"FALSE"
"cosw";-0,016;0,04;-0,405;0,685;"Bat 45";3;"n.s.";"FALSE"
"sinw";-0,004;0,04;-0,099;0,921;"Bat 45";3;"n.s.";"FALSE"
"(Intercept)";-0,241;0,026;-9,127;0;"Bat 45";6;"***";"FALSE"
"cosw";0,029;0,037;0,772;0,44;"Bat 45";6;"n.s.";"FALSE"
"sinw";-0,01;0,037;-0,278;0,781;"Bat 45";6;"n.s.";"FALSE"
"(Intercept)";0,109;0,018;6,02;0;"Bat 43";0,75;"***";"FALSE"
"cosw";-0,006;0,026;-0,22;0,826;"Bat 43";0,75;"n.s.";"FALSE"
"sinw";0,017;0,026;0,648;0,517;"Bat 43";0,75;"n.s.";"FALSE"
"(Intercept)";-0,125;0,018;-6,969;0;"Bat 43";1,5;"***";"FALSE"
"cosw";0,028;0,025;1,103;0,27;"Bat 43";1,5;"n.s.";"FALSE"
"sinw";0,025;0,025;0,964;0,335;"Bat 43";1,5;"n.s.";"FALSE"
"(Intercept)";-0,334;0,019;-17,964;0;"Bat 43";3;"***";"FALSE"
"cosw";-0,014;0,026;-0,532;0,595;"Bat 43";3;"n.s.";"FALSE"
"sinw";-0,008;0,026;-0,298;0,766;"Bat 43";3;"n.s.";"FALSE"
"(Intercept)";-0,622;0,019;-32,056;0;"Bat 43";6;"***";"FALSE"
"cosw";0,003;0,027;0,109;0,913;"Bat 43";6;"n.s.";"FALSE"
"sinw";-0,02;0,027;-0,739;0,46;"Bat 43";6;"n.s.";"FALSE"
